"Private Sale Events", "Private Sale Events"
"Invite Customer", "Invite Customer"
"You can not send invitation due to your customer group. Please contact us for more information", "You can not send invitation due to your customer group. Please contact us for more information"
"Your invitation has been sent successfully", "Your invitation has been sent successfully"
"There was problem when sending invitation, please try again.", "There was problem when sending invitation, please try again."
"Account confirmation is required. Please check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>.", "Account confirmation is required. Please check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>."
"Invalid customer data", "Invalid customer data"
"There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account.", "There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account."
"Cannot save the customer.", "Cannot save the customer."
"Invalid invitation code", "Invalid invitation code"
"Event will end in:", "Event will end in:"
"Event will start in: ", "Event will start in: "
"There is no available event.", "There is no available event."
"Start Date:", "Start Date:"
"End Date:", "End Date:"
"Event Information:", "Event Information:"
"Invitation Status", "Invitation Status"
"You sent invitation to %s people", "You sent invitation to %s people"
"Email", "Email"
"Status", "Status"
"Registered", "Registered"
"Not registered", "Not registered"
"You have not invited anyone", "You have not invited anyone"
"Invite New User", "Invite New User"
"Invite People at Email", "Invite People at Email"
"Invitation Message", "Invitation Message"
"Join with us, please.", "Join with us, please."
"Invite", "Invite"
" Days, ", " Days, "
" Hours, ", " Hours, "
" Minutes, ", " Minutes, "
" Seconds.", " Seconds."
"Create an Account", "Create an Account"
"Personal Information", "Personal Information"
"Email Address", "Email Address"
"Sign Up for Newsletter", "Sign Up for Newsletter"
"Happening Events", "Happening Events"
"Remaining time to end event:", "Remaining time to end event:"
"Upcomming Events", "Upcomming Events"
"Remaining time to begin event:", "Remaining time to begin event:"
